Date,Zipcode,Viral Load,Positivity Rate,Unvaccinated Rate,DP05_0001E,S1701_C02_001E,S1501_C01_005E,S1501_C01_012E,Below Poverty Line %,Bachelor Degree Total %
07/06/2020-07/13/2084,77070,598,23,43,5729,644,85,1037,0.1124105428521557,0.19584569732937684
07/06/2020-07/13/2085,77071,112,10,35,4810,676,67,618,0.14054054054054055,0.14241164241164242
07/06/2020-07/13/2086,77072,178,16,39,4512,1053,53,349,0.23337765957446807,0.08909574468085106
07/06/2020-07/13/2087,77074,98,11,38,3863,973,33,339,0.2518767797048926,0.09629821382345327
07/06/2020-07/13/2088,77075,69,11,41,4851,614,43,347,0.12657184085755516,0.08039579468150897
07/06/2020-07/13/2089,77076,146,11,44,4993,1510,15,98,0.3024233927498498,0.022631684358101343
07/06/2020-07/13/2090,77077,465,12,30,3582,426,58,888,0.11892797319932999,0.26409826912339474
07/06/2020-07/13/2091,77078,67,5,39,5592,1896,57,277,0.33905579399141633,0.059728183118741056
07/06/2020-07/13/2092,77079,203,43,23,4266,436,52,1128,0.10220346929207688,0.27660571964369435
07/06/2020-07/13/2093,77080,106,17,41,3755,891,24,446,0.23728362183754995,0.12516644474034622
07/06/2020-07/13/2094,77081,112,8,47,3498,1136,37,263,0.324757004002287,0.08576329331046312
07/06/2020-07/13/2095,77082,192,18,31,4396,884,50,682,0.2010919017288444,0.1665150136487716
07/06/2020-07/13/2096,77083,208,25,31,2627,427,23,289,0.1625428245146555,0.11876665397792158
07/06/2020-07/13/2097,77084,206,15,34,5249,569,42,722,0.10840160030481996,0.14555153362545248
07/06/2020-07/13/2098,77085,54,14,30,5951,817,28,410,0.13728785078138128,0.07360107544950428
07/06/2020-07/13/2099,77087,83,16,37,4454,1012,15,213,0.22721149528513696,0.051189941625505164
07/06/2020-07/13/2100,77088,96,13,42,4995,966,22,300,0.1933933933933934,0.06446446446446447
07/06/2020-07/13/2101,77089,87,19,37,5612,630,36,647,0.11225944404846756,0.12170349251603706
07/06/2020-07/13/2102,77090,154,20,51,3742,659,8,401,0.17610903260288616,0.10929983965793694
07/06/2020-07/13/2103,77091,101,29,48,4224,1214,21,396,0.28740530303030304,0.09872159090909091
07/06/2020-07/13/2104,77092,114,9,33,3758,850,25,444,0.2261841405002661,0.12480042575838211
07/06/2020-07/13/2105,77093,146,13,43,3948,1420,11,96,0.3596757852077001,0.027102330293819657
07/06/2020-07/13/2106,77094,389,0,20,3859,344,50,1226,0.0891422648354496,0.33065561026172585
07/06/2020-07/13/2107,77096,112,16,26,2668,396,19,537,0.14842578710644677,0.20839580209895053
07/06/2020-07/13/2108,77098,45,27,0,2335,169,140,626,0.07237687366167024,0.328051391862955
07/06/2020-07/13/2109,77099,145,13,36,3961,1031,22,287,0.2602878061095683,0.0780106033829841
